customer_id,state,zone,plan_type,signup_date
CUST0001,Abia,South-East,Postpaid,2023-07-22
CUST0002,Ekiti,South-West,Prepaid,2024-12-15
CUST0003,Kwara,North-Central,Prepaid,2024-08-31
CUST0004,Kwara,North-Central,Postpaid,2023-12-27
CUST0005,Edo,South-South,Prepaid,2023-11-26
CUST0006,Benue,North-Central,Postpaid,2025-10-12
CUST0007,Lagos,South-West,Prepaid,2023-08-01
CUST0008,Borno,North-East,Prepaid,2024-08-21
CUST0009,Kaduna,North-West,Prepaid,2026-03-31
CUST0010,Imo,South-East,Prepaid,2023-07-25
CUST0011,Bayelsa,South-South,Prepaid,2024-07-12
CUST0012,Jigawa,North-West,Prepaid,2025-10-07
CUST0013,Anambra,South-East,Prepaid,2025-12-06
CUST0014,Taraba,North-East,Prepaid,2024-12-21
CUST0015,Rivers,South-South,Prepaid,2024-04-22
CUST0016,Edo,South-South,Prepaid,2025-10-13
CUST0017,Kogi,North-Central,Postpaid,2024-12-21
CUST0018,Oyo,South-West,Prepaid,2024-08-14
CUST0019,Katsina,North-West,Prepaid,2023-12-27
CUST0020,Lagos,South-West,Prepaid,2025-07-18
CUST0021,Niger,North-Central,Prepaid,2025-06-05
CUST0022,Kogi,North-Central,Postpaid,2024-11-23
CUST0023,Kano,North-West,Prepaid,2025-12-27
CUST0024,Zamfara,North-West,Prepaid,2024-02-11
CUST0025,Cross River,South-South,Prepaid,2023-11-09
CUST0026,Ondo,South-West,Prepaid,2025-01-21
CUST0027,Ekiti,South-West,Postpaid,2025-06-10
CUST0028,Bayelsa,South-South,Postpaid,2024-06-28
CUST0029,FCT Abuja,North-Central,Prepaid,2023-10-21
CUST0030,Niger,North-Central,Prepaid,2024-09-09
CUST0031,Ebonyi,South-East,Prepaid,2023-11-11
CUST0032,Oyo,South-West,Prepaid,2023-12-24
CUST0033,Sokoto,North-West,Prepaid,2024-12-21
CUST0034,Plateau,North-Central,Prepaid,2025-06-17
CUST0035,Kwara,North-Central,Postpaid,2025-06-28
CUST0036,Ogun,South-West,Prepaid,2024-08-03
CUST0037,FCT Abuja,North-Central,Prepaid,2024-11-28
CUST0038,Ekiti,South-West,Prepaid,2023-10-25
CUST0039,Ondo,South-West,Prepaid,2024-05-16
CUST0040,Zamfara,North-West,Prepaid,2024-10-14
CUST0041,Oyo,South-West,Prepaid,2026-01-02
