usage_id,customer_id,month,service_type,revenue_ngn,volume
USG00001,CUST0001,2026-02-01,Data,2218.39,6.34
USG00002,CUST0001,2026-02-01,Voice,1853.57,290.7
USG00003,CUST0001,2026-02-01,SMS,169.69,29.0
USG00004,CUST0001,2026-03-01,Data,3005.34,8.59
USG00005,CUST0001,2026-03-01,Voice,1482.67,96.6
USG00006,CUST0001,2026-03-01,SMS,259.36,9.0
USG00007,CUST0001,2026-04-01,Data,897.88,2.57
USG00008,CUST0001,2026-04-01,Voice,944.52,119.0
USG00009,CUST0001,2026-04-01,SMS,130.58,42.0
USG00010,CUST0001,2026-05-01,Data,2097.64,5.99
USG00011,CUST0001,2026-05-01,Voice,598.18,106.7
USG00012,CUST0001,2026-05-01,SMS,332.32,36.0
USG00013,CUST0001,2026-06-01,Data,2645.63,7.56
USG00014,CUST0001,2026-06-01,Voice,1284.13,295.3
USG00015,CUST0001,2026-06-01,SMS,107.93,56.0
USG00016,CUST0001,2026-07-01,Data,3844.65,10.98
USG00017,CUST0001,2026-07-01,Voice,1339.07,44.8
USG00018,CUST0001,2026-07-01,SMS,241.12,10.0
USG00019,CUST0002,2026-02-01,Data,1949.97,5.57
USG00020,CUST0002,2026-02-01,Voice,926.56,79.1
USG00021,CUST0002,2026-02-01,SMS,171.49,7.0
USG00022,CUST0002,2026-03-01,Data,2593.91,7.41
USG00023,CUST0002,2026-03-01,Voice,633.35,80.9
USG00024,CUST0002,2026-03-01,SMS,44.08,76.0
USG00025,CUST0002,2026-04-01,Data,588.93,1.68
USG00026,CUST0002,2026-04-01,Voice,359.05,117.4
USG00027,CUST0002,2026-04-01,SMS,131.64,46.0
USG00028,CUST0002,2026-05-01,Data,726.67,2.08
USG00029,CUST0002,2026-05-01,Voice,454.21,86.9
USG00030,CUST0002,2026-05-01,SMS,58.44,36.0
USG00031,CUST0002,2026-06-01,Data,2230.48,6.37
USG00032,CUST0002,2026-06-01,Voice,378.33,122.7
USG00033,CUST0002,2026-06-01,SMS,90.37,78.0
USG00034,CUST0002,2026-07-01,Data,2882.13,8.23
USG00035,CUST0002,2026-07-01,Voice,990.14,87.7
USG00036,CUST0002,2026-07-01,SMS,32.25,29.0
USG00037,CUST0003,2026-02-01,Data,1093.67,3.12
USG00038,CUST0003,2026-02-01,Voice,681.22,237.8
USG00039,CUST0003,2026-02-01,SMS,174.5,68.0
USG00040,CUST0003,2026-03-01,Data,1335.16,3.81
USG00041,CUST0003,2026-03-01,Voice,871.6,107.6
USG00042,CUST0003,2026-03-01,SMS,30.96,58.0
USG00043,CUST0003,2026-04-01,Data,425.55,1.22
USG00044,CUST0003,2026-04-01,Voice,579.64,112.2
USG00045,CUST0003,2026-04-01,SMS,144.81,62.0
USG00046,CUST0003,2026-05-01,Data,1190.65,3.4
USG00047,CUST0003,2026-05-01,Voice,1002.21,102.3
USG00048,CUST0003,2026-05-01,SMS,100.34,60.0
USG00049,CUST0003,2026-06-01,Data,2201.59,6.29
USG00050,CUST0003,2026-06-01,Voice,1186.74,83.0
USG00051,CUST0003,2026-06-01,SMS,139.22,51.0
USG00052,CUST0003,2026-07-01,Data,2779.26,7.94
USG00053,CUST0003,2026-07-01,Voice,314.18,230.5
USG00054,CUST0003,2026-07-01,SMS,122.29,26.0
USG00055,CUST0004,2026-02-01,Data,2777.0,7.93
USG00056,CUST0004,2026-02-01,Voice,850.79,182.2
USG00057,CUST0004,2026-02-01,SMS,306.03,48.0
USG00058,CUST0004,2026-03-01,Data,3472.21,9.92
USG00059,CUST0004,2026-03-01,Voice,1180.96,34.3
USG00060,CUST0004,2026-03-01,SMS,105.25,42.0
USG00061,CUST0004,2026-04-01,Data,2051.24,5.86
USG00062,CUST0004,2026-04-01,Voice,579.45,161.2
USG00063,CUST0004,2026-04-01,SMS,132.78,24.0
USG00064,CUST0004,2026-05-01,Data,2730.82,7.8
USG00065,CUST0004,2026-05-01,Voice,492.91,279.8
USG00066,CUST0004,2026-05-01,SMS,299.52,58.0
USG00067,CUST0004,2026-06-01,Data,1149.47,3.28
USG00068,CUST0004,2026-06-01,Voice,1639.94,246.2
USG00069,CUST0004,2026-06-01,SMS,268.94,14.0
USG00070,CUST0004,2026-07-01,Data,3526.07,10.07
USG00071,CUST0004,2026-07-01,Voice,1744.27,181.7
USG00072,CUST0004,2026-07-01,SMS,231.8,39.0
USG00073,CUST0005,2026-02-01,Data,1774.64,5.07
USG00074,CUST0005,2026-02-01,Voice,186.1,198.9
USG00075,CUST0005,2026-02-01,SMS,34.66,38.0
USG00076,CUST0005,2026-03-01,Data,1160.9,3.32
USG00077,CUST0005,2026-03-01,Voice,722.7,57.4
USG00078,CUST0005,2026-03-01,SMS,144.5,65.0
USG00079,CUST0005,2026-04-01,Data,824.72,2.36
USG00080,CUST0005,2026-04-01,Voice,259.53,60.7
USG00081,CUST0005,2026-04-01,SMS,177.88,45.0
USG00082,CUST0005,2026-05-01,Data,1614.88,4.61
USG00083,CUST0005,2026-05-01,Voice,262.05,201.9
USG00084,CUST0005,2026-05-01,SMS,176.24,67.0
USG00085,CUST0005,2026-06-01,Data,2027.74,5.79
USG00086,CUST0005,2026-06-01,Voice,229.04,51.5
USG00087,CUST0005,2026-06-01,SMS,28.88,24.0
USG00088,CUST0005,2026-07-01,Data,752.72,2.15
USG00089,CUST0005,2026-07-01,Voice,423.05,127.8
USG00090,CUST0005,2026-07-01,SMS,189.74,51.0
USG00091,CUST0006,2026-02-01,Data,4370.58,12.49
USG00092,CUST0006,2026-02-01,Voice,1522.98,51.5
USG00093,CUST0006,2026-02-01,SMS,259.19,26.0
USG00094,CUST0006,2026-03-01,Data,3504.86,10.01
USG00095,CUST0006,2026-03-01,Voice,863.62,299.3
USG00096,CUST0006,2026-03-01,SMS,114.65,26.0
USG00097,CUST0006,2026-04-01,Data,4793.57,13.7
USG00098,CUST0006,2026-04-01,Voice,298.99,215.1
USG00099,CUST0006,2026-04-01,SMS,255.95,68.0
USG00100,CUST0006,2026-05-01,Data,4987.02,14.25
USG00101,CUST0006,2026-05-01,Voice,1996.45,38.3
USG00102,CUST0006,2026-05-01,SMS,285.48,53.0
USG00103,CUST0006,2026-06-01,Data,3541.25,10.12
USG00104,CUST0006,2026-06-01,Voice,484.1,202.1
USG00105,CUST0006,2026-06-01,SMS,334.64,73.0
USG00106,CUST0006,2026-07-01,Data,2620.96,7.49
USG00107,CUST0006,2026-07-01,Voice,326.31,121.4
USG00108,CUST0006,2026-07-01,SMS,286.88,58.0
USG00109,CUST0007,2026-02-01,Data,1594.29,4.56
USG00110,CUST0007,2026-02-01,Voice,207.86,139.5
USG00111,CUST0007,2026-02-01,SMS,104.42,75.0
USG00112,CUST0007,2026-03-01,Data,2066.82,5.91
USG00113,CUST0007,2026-03-01,Voice,477.24,167.1
USG00114,CUST0007,2026-03-01,SMS,31.89,78.0
USG00115,CUST0007,2026-04-01,Data,1336.16,3.82
USG00116,CUST0007,2026-04-01,Voice,651.76,119.5
USG00117,CUST0007,2026-04-01,SMS,142.85,55.0
USG00118,CUST0007,2026-05-01,Data,2259.84,6.46
USG00119,CUST0007,2026-05-01,Voice,431.55,108.4
USG00120,CUST0007,2026-05-01,SMS,42.55,54.0
USG00121,CUST0007,2026-06-01,Data,503.47,1.44
USG00122,CUST0007,2026-06-01,Voice,777.57,263.5
USG00123,CUST0007,2026-06-01,SMS,180.35,39.0
USG00124,CUST0007,2026-07-01,Data,1594.19,4.55
USG00125,CUST0007,2026-07-01,Voice,230.82,207.8
USG00126,CUST0007,2026-07-01,SMS,167.83,23.0
USG00127,CUST0008,2026-02-01,Data,1495.38,4.27
USG00128,CUST0008,2026-02-01,Voice,1030.78,265.6
USG00129,CUST0008,2026-02-01,SMS,63.77,46.0
USG00130,CUST0008,2026-03-01,Data,900.48,2.57
USG00131,CUST0008,2026-03-01,Voice,256.97,275.1
USG00132,CUST0008,2026-03-01,SMS,167.69,62.0
USG00133,CUST0008,2026-04-01,Data,526.79,1.51
USG00134,CUST0008,2026-04-01,Voice,1035.92,142.7
USG00135,CUST0008,2026-04-01,SMS,81.63,46.0
USG00136,CUST0008,2026-05-01,Data,637.52,1.82
USG00137,CUST0008,2026-05-01,Voice,944.48,183.1
USG00138,CUST0008,2026-05-01,SMS,53.59,19.0
USG00139,CUST0008,2026-06-01,Data,879.05,2.51
USG00140,CUST0008,2026-06-01,Voice,209.85,184.6
USG00141,CUST0008,2026-06-01,SMS,171.26,6.0
USG00142,CUST0008,2026-07-01,Data,527.41,1.51
USG00143,CUST0008,2026-07-01,Voice,751.41,249.5
USG00144,CUST0008,2026-07-01,SMS,78.81,31.0
USG00145,CUST0009,2026-02-01,Data,1950.5,5.57
USG00146,CUST0009,2026-02-01,Voice,437.92,27.5
USG00147,CUST0009,2026-02-01,SMS,152.34,52.0
USG00148,CUST0009,2026-03-01,Data,1909.97,5.46
USG00149,CUST0009,2026-03-01,Voice,928.77,209.1
USG00150,CUST0009,2026-03-01,SMS,57.06,31.0
USG00151,CUST0009,2026-04-01,Data,727.89,2.08
USG00152,CUST0009,2026-04-01,Voice,286.35,209.3
USG00153,CUST0009,2026-04-01,SMS,174.55,77.0
USG00154,CUST0009,2026-05-01,Data,2033.7,5.81
USG00155,CUST0009,2026-05-01,Voice,343.31,49.6
USG00156,CUST0009,2026-05-01,SMS,166.31,48.0
USG00157,CUST0009,2026-06-01,Data,2007.54,5.74
USG00158,CUST0009,2026-06-01,Voice,970.54,216.9
USG00159,CUST0009,2026-06-01,SMS,170.2,9.0
USG00160,CUST0009,2026-07-01,Data,2343.55,6.7
USG00161,CUST0009,2026-07-01,Voice,1043.4,100.1
USG00162,CUST0009,2026-07-01,SMS,135.28,29.0
USG00163,CUST0010,2026-02-01,Data,2890.72,8.26
USG00164,CUST0010,2026-02-01,Voice,185.09,182.3
USG00165,CUST0010,2026-02-01,SMS,49.97,58.0
USG00166,CUST0010,2026-03-01,Data,857.31,2.45
USG00167,CUST0010,2026-03-01,Voice,397.15,158.4
USG00168,CUST0010,2026-03-01,SMS,184.67,21.0
USG00169,CUST0010,2026-04-01,Data,775.02,2.21
USG00170,CUST0010,2026-04-01,Voice,946.93,160.2
USG00171,CUST0010,2026-04-01,SMS,184.12,16.0
USG00172,CUST0010,2026-05-01,Data,2079.41,5.94
USG00173,CUST0010,2026-05-01,Voice,394.52,63.9
USG00174,CUST0010,2026-05-01,SMS,143.02,50.0
USG00175,CUST0010,2026-06-01,Data,2362.55,6.75
USG00176,CUST0010,2026-06-01,Voice,474.94,145.4
USG00177,CUST0010,2026-06-01,SMS,92.98,79.0
USG00178,CUST0010,2026-07-01,Data,1159.85,3.31
USG00179,CUST0010,2026-07-01,Voice,459.56,119.3
USG00180,CUST0010,2026-07-01,SMS,121.63,24.0
USG00181,CUST0011,2026-02-01,Data,2779.75,7.94
USG00182,CUST0011,2026-02-01,Voice,428.97,270.8
USG00183,CUST0011,2026-02-01,SMS,38.63,54.0
USG00184,CUST0011,2026-03-01,Data,2758.16,7.88
USG00185,CUST0011,2026-03-01,Voice,327.19,291.1
USG00186,CUST0011,2026-03-01,SMS,101.52,76.0
USG00187,CUST0011,2026-04-01,Data,2159.73,6.17
USG00188,CUST0011,2026-04-01,Voice,466.67,72.7
USG00189,CUST0011,2026-04-01,SMS,74.67,12.0
