operator,month,total_complaints,resolved_complaints,pending_complaints,complaints_per_1000_subscribers
MTN,2025-01,24000,23195,805,0.44
MTN,2025-02,21000,19782,1218,1.26
MTN,2025-03,23500,23037,463,1.01
MTN,2025-04,34000,32902,1098,1.52
MTN,2025-05,15500,15043,457,0.71
MTN,2025-06,13000,12618,382,1.28
MTN,2025-07,17500,17092,408,1.27
MTN,2025-08,20500,20263,237,0.68
MTN,2025-09,12000,11850,150,1.15
MTN,2025-10,22500,21905,595,0.54
MTN,2025-11,20000,19180,820,1.48
MTN,2025-12,21500,20969,531,0.46
Airtel,2025-01,26000,25150,850,0.52
Airtel,2025-02,22500,22270,230,1.66
Airtel,2025-03,25500,23996,1504,1.6
Airtel,2025-04,12000,11831,169,0.89
Airtel,2025-05,17000,16591,409,1.02
Airtel,2025-06,14500,14105,395,0.88
Airtel,2025-07,16000,15298,702,0.99
Airtel,2025-08,21000,19892,1108,1.56
Airtel,2025-09,11000,10531,469,0.96
Airtel,2025-10,19500,19201,299,1.1
Airtel,2025-11,21500,20795,705,1.74
Airtel,2025-12,22500,22147,353,0.64
Glo,2025-01,23500,22646,854,1.76
Glo,2025-02,24500,23486,1014,0.92
Glo,2025-03,28500,27067,1433,0.56
Glo,2025-04,36000,35172,828,1.48
Glo,2025-05,20500,20263,237,1.48
Glo,2025-06,19500,18567,933,0.46
Glo,2025-07,22500,22258,242,0.88
Glo,2025-08,21500,20545,955,1.67
Glo,2025-09,13500,13084,416,0.7
Glo,2025-10,16500,16243,257,1.79
Glo,2025-11,24500,23136,1364,1.61
Glo,2025-12,21500,20629,871,1.13
9mobile,2025-01,13000,12814,186,0.59
9mobile,2025-02,11500,10960,540,0.25
9mobile,2025-03,9500,8968,532,0.4
9mobile,2025-04,6500,6114,386,0.34
9mobile,2025-05,8000,7549,451,0.33
9mobile,2025-06,7000,6593,407,0.53
9mobile,2025-07,5500,5227,273,0.3
9mobile,2025-08,6500,6392,108,0.49
9mobile,2025-09,4000,3803,197,0.18
9mobile,2025-10,8500,8294,206,0.33
9mobile,2025-11,9500,9293,207,0.35
9mobile,2025-12,8500,8137,363,0.35
MTN,2026-02,27434,26501,933,0.3
Airtel,2026-02,31636,31446,190,0.5
Glo,2026-02,12842,12526,316,0.6
9mobile,2026-02,511,511,0,0.2
